,Year,Month,AvgDryBulbTemp_Atlanta,AvgWetBulbTemp_Atlanta,AvgDewPointTemp_Atlanta,AvgHumidity_Atlanta,AvgSeaLevelPressure_Atlanta,AvgStationPressure_Atlanta,AvgWindspeed_Atlanta,Precipitation_Atlanta,DECADE
0,1948,1,276.047252090801,273.9138888888893,270.31621863799325,69.30510752688173,30.149137466307316,29.09021534320325,10.830645161290322,0.0,1940
1,1948,2,281.61024904214577,279.6155172413796,277.3882094324543,78.37212643678161,30.188735632183935,29.14308908045975,10.423850574712644,0.0,1940
2,1948,3,286.0972819593791,283.2373655913981,280.39315836698086,71.78629032258064,30.05281292059222,29.026204576043057,11.844086021505376,0.0,1940
3,1948,4,291.72286354504746,287.300417827298,283.6360145263485,63.38386648122392,30.087256267409494,29.07547353760452,10.645340751043115,0.0,1940
4,1948,5,294.3620532376258,289.48243606998676,286.01227007626744,63.16150740242261,29.923687752355324,28.926850605652792,8.682368775235531,0.0,1940
5,1948,6,298.62508511296875,293.57848287618236,290.8558186320021,64.92896935933148,29.97285515320332,28.981450488145136,8.344011142061282,0.9900000000000001,1940
6,1948,7,299.28429041423675,295.24735307312784,293.2793554658316,72.77388963660835,29.995639300134616,29.00426648721395,7.816958277254374,11.26,1940
7,1948,8,297.83820098699005,294.09885598923313,292.19441453566617,73.39838492597578,29.998654104979828,29.005060565275922,6.586810228802153,3.3500000000000005,1940
8,1948,9,294.759567901235,291.17006172839535,288.9871913580249,72.2375,30.00219444444443,29.00245833333332,8.683333333333334,3.6000000000000005,1940
9,1948,10,288.53605137395556,284.82488052568743,281.4818399044209,66.53091397849462,30.094798387096763,29.074220430107484,8.951612903225806,0.6699999999999999,1940
10,1948,11,285.65928505106825,283.5128907458996,281.36494893221976,77.85793871866295,30.02330083565459,28.996350974930373,10.661559888579387,15.469999999999999,1940
11,1948,12,281.6655316606931,279.7315412186383,277.16359020310733,75.56720430107526,30.116034946236557,29.0744623655914,10.439516129032258,4.11,1940
12,1949,1,283.9493120981012,281.7375579482578,279.2745700613128,75.73485868102289,30.205437415881555,29.166177658142633,11.251682368775235,4.57,1940
13,1949,2,283.9973875661378,281.06335978836006,277.6266865079366,68.59077380952381,30.17019345238097,29.132276785714307,10.876488095238095,4.11,1940
14,1949,3,284.82712066905657,281.21376941457567,276.6089502018851,61.729838709677416,30.065860215053814,29.035295698924735,12.021505376344086,4.32,1940
15,1949,4,288.4378086419761,284.44629629629685,280.4578703703705,64.51527777777778,29.99765277777784,28.97962499999999,12.770833333333334,6.99,1940
16,1949,5,294.8181661418504,290.2530139451197,287.231571449993,65.34143049932524,30.01762162162159,29.017948717948666,7.160593792172739,1.87,1940
17,1949,6,297.0721140472879,293.54638386648236,291.55751043115504,74.02086230876218,29.996356050069604,29.000973574408967,7.6369958275382475,4.800000000000001,1940
18,1949,7,299.25438163601046,295.6922461492461,294.01212053237725,75.15477792732167,30.03541049798115,29.043162853297456,5.995962314939435,2.8099999999999996,1940
19,1949,8,297.9050776583043,294.6874850657113,293.08279569892505,76.71908602150538,29.981397849462372,28.98895161290324,6.926075268817204,6.47,1940
20,1949,9,294.31975308642,290.86064814814836,288.52114197530955,72.25694444444444,30.052777777777774,29.048833333333327,8.027777777777779,2.91,1940
21,1949,10,292.233781362008,289.6143070489847,287.82741935483904,77.69220430107526,30.10301075268816,29.09274193548391,7.705645161290323,3.0999999999999996,1940
22,1949,11,283.58132716049414,280.0129269046523,275.6527043733587,61.58692628650904,30.040861111111145,29.007916666666684,9.651388888888889,0.86,1940
23,1949,12,280.5290322580652,278.2754480286744,274.94510155316624,72.86155913978494,30.296223118279546,29.24326612903227,8.974462365591398,2.8000000000000003,1940
24,1950,1,285.65672043010784,284.00498805256893,282.4764635603343,82.78091397849462,30.261155913978513,29.223172043010752,10.08736559139785,2.0599999999999996,1950
25,1950,2,283.34841269841303,280.1738095238094,276.0443452380955,65.23660714285714,30.15437499999997,29.114791666666683,10.764880952380953,3.02,1950
26,1950,3,283.1253584229393,279.6538829151735,275.0615890083629,62.340053763440864,30.05329301075274,29.01838709677417,12.533602150537634,3.95,1950
27,1950,4,288.01805555555586,283.05123456790164,277.60370370370464,54.293055555555554,30.06000000000001,29.038277777777825,10.75,1.44,1950
28,1950,5,295.2781362007171,291.32278972520965,288.93181003584226,70.1760752688172,29.980309555854582,28.982405913978514,7.71505376344086,3.74,1950
29,1950,6,298.06358024691366,293.795833333334,291.5242283950624,69.4486111111111,30.011111111111116,29.017083333333368,9.3625,4.08,1950
30,1950,7,297.4680798564394,294.4241139524459,292.8531553761036,77.85598923283983,30.06071332436073,29.063566621803503,7.771197846567968,7.390000000000001,1950
31,1950,8,297.1337216248514,293.70480884109975,291.85071684587876,74.72983870967742,30.013844086021596,29.017862903225886,7.158602150537634,5.16,1950
32,1950,9,294.64228395061815,291.5466049382721,289.66003086419784,75.19583333333334,30.005083333333378,29.004138888888892,8.105555555555556,3.96,1950
33,1950,10,291.4579450418164,288.3284647550785,285.9501792114699,73.6491935483871,30.03563172043011,29.02568548387102,8.704301075268818,2.57,1950
34,1950,11,281.51265432098774,278.48333333333414,274.64537037037053,64.43055555555556,30.10180555555559,29.06011111111116,9.534722222222221,0.81,1950
35,1950,12,277.64105397684614,275.40379642159115,271.8321530596904,69.3531799729364,30.08263870094721,29.03123139377541,9.73342354533153,2.9400000000000004,1950
36,1951,1,280.15463586062543,277.59294900553317,273.9328622700763,67.69179004037684,30.179905787348652,29.130740242261073,10.491251682368775,2.25,1950
37,1951,2,281.20720899470916,278.4261243386247,274.65710978836074,67.19791666666667,30.218273809523822,29.16834821428572,8.581845238095237,3.78,1950
38,1951,3,284.78978494623686,281.64611708482704,278.09698327359615,68.03763440860214,30.03506720430108,29.00516129032259,10.200268817204302,4.6,1950
39,1951,4,288.6731030752592,284.48364240457494,280.4688069850101,62.276773296244784,29.972461752433922,28.954853963838644,9.396383866481225,4.63,1950
40,1951,5,294.18419952210303,287.91553166069355,283.0096176821987,52.638440860215056,29.970900537634467,28.96967741935489,9.168010752688172,0.47000000000000003,1950
41,1951,6,297.8760909935007,293.33879603837875,290.79159702878417,67.85376044568245,29.975208913649006,28.981922005571022,7.178272980501393,4.59,1950
42,1951,7,298.9116487455202,294.7688769414586,292.62132616487554,70.98790322580645,30.02618279569894,29.03178763440871,5.68010752688172,7.41,1950
43,1951,8,299.9764635603353,295.0070788530475,292.49886499402646,66.20833333333333,29.997163978494658,29.005940860215095,6.689516129032258,1.17,1950
44,1951,9,295.8799382716053,292.3544753086426,290.2827160493826,73.70416666666667,30.04055555555556,29.040902777777813,6.397222222222222,5.58,1950
45,1951,10,291.40866188769417,288.0544205495826,285.5014038231783,71.30510752688173,30.088575268817216,29.074798387096784,8.260752688172044,2.7800000000000002,1950
46,1951,11,281.33750000000003,278.7479938271605,275.166203703704,68.51388888888889,30.16529166666673,29.12048611111108,8.980555555555556,2.63,1950
