,Year,Month,AvgDryBulbTemp_Cincinnati,AvgWetBulbTemp_Cincinnati,AvgDewPointTemp_Cincinnati,AvgHumidity_Cincinnati,AvgSeaLevelPressure_Cincinnati,AvgStationPressure_Cincinnati,AvgWindspeed_Cincinnati,Precipitation_Cincinnati,DECADE
0,1948,1,268.18733572282,266.9349558845529,263.8625766412448,73.44818304172274,30.188198924731218,29.203938172043,10.702956989247312,0.0,1940
1,1948,2,274.2890485312907,272.77723499361576,270.3331098339723,77.07327586206897,30.21193965517241,29.240071839080453,11.086206896551724,0.0,1940
2,1948,3,280.4857228195943,278.06636798088454,274.9607825567508,70.8225806451613,30.033736559139747,29.079166666666655,13.518817204301076,0.0,1940
3,1948,4,286.72021604938294,283.44748106938675,280.35522330397225,68.9471488178025,30.088958333333323,29.14518055555556,11.458333333333334,0.0,1940
4,1948,5,289.53440860215085,286.0055406011666,283.1649342891283,68.93817204301075,29.96590053763438,29.03025572005387,9.549731182795698,0.0,1940
5,1948,6,295.1945062586926,291.12121634169023,288.5610647504245,69.1557719054242,29.959485396383844,29.033997214484724,8.936022253129346,0.0,1940
6,1948,7,297.17084270505393,293.56930141523696,291.5959459459466,73.51351351351352,29.990485829959457,29.068146143437087,7.319838056680162,0.0,1940
7,1948,8,296.39447431302324,291.93136200716884,289.3828255675033,67.8991935483871,30.044879032258127,29.11896505376344,5.911290322580645,0.0,1940
8,1948,9,293.5280864197541,289.389197530865,286.49799382716134,67.0625,30.062958333333317,29.131791666666672,8.525,0.0,1940
9,1948,10,284.5597968936682,281.8096475507769,278.97287933094407,71.51209677419355,30.126747311827955,29.178172043010782,7.889784946236559,0.0,1940
10,1948,11,281.6992107706601,279.6283821478385,277.2000542383392,75.15202231520223,29.995048814504884,29.045515320334253,10.887186629526463,0.0,1940
11,1948,12,275.9651135005976,274.3940262843493,271.7842592592603,75.36962365591398,30.114905913978443,29.149139784946215,10.681451612903226,0.0,1940
12,1949,1,276.5439802336033,275.3557502246183,273.54008685235146,81.95013477088949,30.182264150943354,29.215148247978465,11.597035040431267,0.0,1940
